VFclass	Virulence factors	Related genes	ma102(Prediction)	ma1265(Prediction)	P.aeruginosa PAO1	P.entomophila L48	P.fluorescens Pf-5	P.fluorescens Pf0-1	P.mendocina ymp	P.putida KT2440	P.putida W619	P.stutzeri A1501	P.syringae 1448A	P.syringae pv. syringae B728a
Adherence	Flagella	fliC	MMBGCLAI_03069	BMIEOKOB_03154	PA1092	PSEEN3826	PFL_1629	Pfl_1527	Pmen_2835	PP_4378	PputW619_3703	PST_1404	PSPPH_3392	Psyr_3466
Adherence	Flagella	fliD	MMBGCLAI_03067	BMIEOKOB_03152	PA1094	PSEEN3824	PFL_1631	Pfl_1529	Pmen_2833	PP_4376	PputW619_3701	PST_1863	PSPPH_3390	Psyr_3464
Adherence	Flagella	fliE	MMBGCLAI_03017	BMIEOKOB_03109	PA1100	PSEEN3817	PFL_1637	Pfl_1535	Pmen_2826	PP_4370	PputW619_3695	PST_2591	PSPPH_3384	Psyr_3458
Adherence	Flagella	fliF	MMBGCLAI_03016	BMIEOKOB_03108	PA1101	PSEEN3816	PFL_1638	Pfl_1536	Pmen_2825	PP_4369	PputW619_3694	PST_2590	PSPPH_3383	Psyr_3457
Adherence	Flagella	fliG	MMBGCLAI_03015	BMIEOKOB_03107	PA1102	PSEEN3815	PFL_1639	Pfl_1537	Pmen_2824	PP_4368	PputW619_3693	PST_2589	PSPPH_3382	Psyr_3456
Adherence	Flagella	fliH	MMBGCLAI_03014	BMIEOKOB_03106	PA1103	PSEEN3814	PFL_1640	Pfl_1538	Pmen_2823	PP_4367	PputW619_3692	PST_2588	PSPPH_3381	Psyr_3455
Adherence	Flagella	fliI	MMBGCLAI_03013	BMIEOKOB_03105	PA1104	PSEEN3813	PFL_1641	Pfl_1539	Pmen_2822	PP_4366	PputW619_3691	PST_2587	PSPPH_3380	Psyr_3454
Adherence	Flagella	fliJ	MMBGCLAI_03012	BMIEOKOB_03104	PA1105	PSEEN3812	PFL_1642	Pfl_1540	Pmen_2821	PP_4365	PputW619_3690	PST_2586	PSPPH_3379	Psyr_3453
Adherence	Flagella	fliK	-	-	PA1441	PSEEN3808	PFL_1646	Pfl_1544	Pmen_2817	PP_4361	PputW619_3686	PST_2582	PSPPH_3375	Psyr_3449
Adherence	Flagella	fliL	MMBGCLAI_03009	BMIEOKOB_03101	PA1442	PSEEN3807	PFL_1647	Pfl_1545	Pmen_2816	PP_4359	PputW619_3685	PST_2581	PSPPH_3374	Psyr_3448
Adherence	Flagella	fliM	MMBGCLAI_03008	BMIEOKOB_03100	PA1443	PSEEN3806	PFL_1648	Pfl_1546	Pmen_2815	PP_4358	PputW619_3684	PST_2580	PSPPH_3373	Psyr_3447
Adherence	Flagella	fliN	MMBGCLAI_03007	BMIEOKOB_03099	PA1444	PSEEN3805	PFL_1649	Pfl_1547	Pmen_2814	PP_4357	PputW619_3683	PST_2579	PSPPH_3372	Psyr_3446
Adherence	Flagella	fliO	-	-	PA1445	PSEEN3804	PFL_1650	Pfl_1548	Pmen_2813	PP_4356	PputW619_3682	PST_2578	PSPPH_3371	Psyr_3445
Adherence	Flagella	fliP	MMBGCLAI_03005	BMIEOKOB_03097	PA1446	PSEEN3803	PFL_1651	Pfl_1549	Pmen_2812	PP_4355	PputW619_3681	PST_2577	PSPPH_3370	Psyr_3444
Adherence	Flagella	fliQ	MMBGCLAI_03004	BMIEOKOB_03096	PA1447	PSEEN3802	PFL_1652	Pfl_1550	Pmen_2811	PP_4354	PputW619_3680	PST_2576	PSPPH_3369	Psyr_3443
Adherence	Flagella	fliR	MMBGCLAI_03003	BMIEOKOB_03095	PA1448	PSEEN3801	PFL_1653	Pfl_1551	Pmen_2810	PP_4353	PputW619_3679	PST_2575	PSPPH_3368	Psyr_3442
Adherence	Flagella	fliS	MMBGCLAI_03066	BMIEOKOB_03151	PA1095	PSEEN3823	PFL_1632	Pfl_1530	Pmen_2831	PP_4375	PputW619_3700	PST_1866	PSPPH_3389	Psyr_3463
Adherence	Flagella	fliT	-	-	PA1096	PSEEN3822	PFL_1633	Pfl_1531	Pmen_2830	PP_4374	PputW619_3699	PST_2545	PSPPH_3388	Psyr_3462
Adherence	Flagella	motA	MMBGCLAI_04038	BMIEOKOB_04192	PA4954	PSEEN4958	PFL_0555	Pfl_0512	Pmen_0624	PP_4905	PputW619_4697	PST_3797	PSPPH_0554	Psyr_0561
Adherence	Flagella	motB	MMBGCLAI_04037	BMIEOKOB_04191	PA4953	PSEEN4957	PFL_0556	Pfl_0513	Pmen_0625	PP_4904	PputW619_4696	PST_3796	PSPPH_0555	Psyr_0562
Adherence	Flagella	motC	MMBGCLAI_02992	BMIEOKOB_03084	PA1460	PSEEN3791	PFL_1672	Pfl_1568	Pmen_2800	PP_4336	PputW619_3662	PST_2564	PSPPH_3358	Psyr_3432
Adherence	Flagella	motD	MMBGCLAI_02991	BMIEOKOB_03083	PA1461	PSEEN3790	PFL_1673	Pfl_1569	Pmen_2799	PP_4335	PputW619_3661	PST_2563	PSPPH_3357	Psyr_3431
Adherence	Flagella	motY	MMBGCLAI_01754	BMIEOKOB_01779	PA3526	PSEEN1209	PFL_4854	Pfl_4518	Pmen_1393	PP_1087	PputW619_1116	PST_1202	PSPPH_3887	Psyr_3893
Adherence	LPS O-antigen 	Undetermined	MMBGCLAI_03023; MMBGCLAI_03024	BMIEOKOB_03115; BMIEOKOB_03116	PA3141; PA3142; PA3143; PA3144; PA3145; PA3146; PA3147; PA3148; PA3149; PA3150; PA3151; PA3152; PA3153; PA3154; PA3155; PA3156; PA3157; PA3158; PA3159; PA3160	-	-	-	-	-	-	-	-	-
Adherence	LPS O-antigen 	Undetermined	MMBGCLAI_03023; MMBGCLAI_03024	-	PA3141; PA3142; PA3143; PA3144; PA3145; PA3146; PA3147; PA3148; PA3149; PA3150; PA3151; PA3152; PA3153; PA3154; PA3155; PA3156; PA3157; PA3158; PA3159; PA3160	-	-	-	-	-	-	-	-	-
Adherence	LPS O-antigen 	Undetermined	MMBGCLAI_03023; MMBGCLAI_03024	-	PA3141; PA3142; PA3143; PA3144; PA3145; PA3146; PA3147; PA3148; PA3149; PA3150; PA3151; PA3152; PA3153; PA3154; PA3155; PA3156; PA3157; PA3158; PA3159; PA3160	-	-	-	-	-	-	-	-	-
Adherence	LPS O-antigen 	Undetermined	MMBGCLAI_03023; MMBGCLAI_03024	-	PA3141; PA3142; PA3143; PA3144; PA3145; PA3146; PA3147; PA3148; PA3149; PA3150; PA3151; PA3152; PA3153; PA3154; PA3155; PA3156; PA3157; PA3158; PA3159; PA3160	-	-	-	-	-	-	-	-	-
Adherence	LPS O-antigen 	Undetermined	MMBGCLAI_03023; MMBGCLAI_03024	-	PA3141; PA3142; PA3143; PA3144; PA3145; PA3146; PA3147; PA3148; PA3149; PA3150; PA3151; PA3152; PA3153; PA3154; PA3155; PA3156; PA3157; PA3158; PA3159; PA3160	-	-	-	-	-	-	-	-	-
Adherence	LPS O-antigen 	Undetermined	MMBGCLAI_03023; MMBGCLAI_03024	-	PA3141; PA3142; PA3143; PA3144; PA3145; PA3146; PA3147; PA3148; PA3149; PA3150; PA3151; PA3152; PA3153; PA3154; PA3155; PA3156; PA3157; PA3158; PA3159; PA3160	-	-	-	-	-	-	-	-	-
Adherence	LPS O-antigen 	Undetermined	MMBGCLAI_03023; MMBGCLAI_03024	-	PA3141; PA3142; PA3143; PA3144; PA3145; PA3146; PA3147; PA3148; PA3149; PA3150; PA3151; PA3152; PA3153; PA3154; PA3155; PA3156; PA3157; PA3158; PA3159; PA3160	-	-	-	-	-	-	-	-	-
Adherence	LPS O-antigen 	Undetermined	MMBGCLAI_03023; MMBGCLAI_03024	-	PA3141; PA3142; PA3143; PA3144; PA3145; PA3146; PA3147; PA3148; PA3149; PA3150; PA3151; PA3152; PA3153; PA3154; PA3155; PA3156; PA3157; PA3158; PA3159; PA3160	-	-	-	-	-	-	-	-	-
Adherence	LPS O-antigen 	Undetermined	MMBGCLAI_03023; MMBGCLAI_03024	-	PA3141; PA3142; PA3143; PA3144; PA3145; PA3146; PA3147; PA3148; PA3149; PA3150; PA3151; PA3152; PA3153; PA3154; PA3155; PA3156; PA3157; PA3158; PA3159; PA3160	-	-	-	-	-	-	-	-	-
Adherence	LPS O-antigen 	Undetermined	MMBGCLAI_03023; MMBGCLAI_03024	-	PA3141; PA3142; PA3143; PA3144; PA3145; PA3146; PA3147; PA3148; PA3149; PA3150; PA3151; PA3152; PA3153; PA3154; PA3155; PA3156; PA3157; PA3158; PA3159; PA3160	-	-	-	-	-	-	-	-	-
Adherence	LPS O-antigen 	Undetermined	MMBGCLAI_03023; MMBGCLAI_03024	-	PA3141; PA3142; PA3143; PA3144; PA3145; PA3146; PA3147; PA3148; PA3149; PA3150; PA3151; PA3152; PA3153; PA3154; PA3155; PA3156; PA3157; PA3158; PA3159; PA3160	-	-	-	-	-	-	-	-	-
Adherence	LPS O-antigen 	Undetermined	MMBGCLAI_03023; MMBGCLAI_03024	-	PA3141; PA3142; PA3143; PA3144; PA3145; PA3146; PA3147; PA3148; PA3149; PA3150; PA3151; PA3152; PA3153; PA3154; PA3155; PA3156; PA3157; PA3158; PA3159; PA3160	-	-	-	-	-	-	-	-	-
Adherence	LPS O-antigen 	Undetermined	MMBGCLAI_03023; MMBGCLAI_03024	-	PA3141; PA3142; PA3143; PA3144; PA3145; PA3146; PA3147; PA3148; PA3149; PA3150; PA3151; PA3152; PA3153; PA3154; PA3155; PA3156; PA3157; PA3158; PA3159; PA3160	-	-	-	-	-	-	-	-	-
Adherence	LPS O-antigen 	Undetermined	MMBGCLAI_03023; MMBGCLAI_03024	-	PA3141; PA3142; PA3143; PA3144; PA3145; PA3146; PA3147; PA3148; PA3149; PA3150; PA3151; PA3152; PA3153; PA3154; PA3155; PA3156; PA3157; PA3158; PA3159; PA3160	-	-	-	-	-	-	-	-	-
Adherence	LPS O-antigen 	Undetermined	MMBGCLAI_03023; MMBGCLAI_03024	-	PA3141; PA3142; PA3143; PA3144; PA3145; PA3146; PA3147; PA3148; PA3149; PA3150; PA3151; PA3152; PA3153; PA3154; PA3155; PA3156; PA3157; PA3158; PA3159; PA3160	-	-	-	-	-	-	-	-	-
Adherence	LPS O-antigen 	Undetermined	MMBGCLAI_03023; MMBGCLAI_03024	-	PA3141; PA3142; PA3143; PA3144; PA3145; PA3146; PA3147; PA3148; PA3149; PA3150; PA3151; PA3152; PA3153; PA3154; PA3155; PA3156; PA3157; PA3158; PA3159; PA3160	-	-	-	-	-	-	-	-	-
Adherence	LPS O-antigen 	Undetermined	MMBGCLAI_03023; MMBGCLAI_03024	-	PA3141; PA3142; PA3143; PA3144; PA3145; PA3146; PA3147; PA3148; PA3149; PA3150; PA3151; PA3152; PA3153; PA3154; PA3155; PA3156; PA3157; PA3158; PA3159; PA3160	-	-	-	-	-	-	-	-	-
Adherence	LPS O-antigen 	Undetermined	MMBGCLAI_03023; MMBGCLAI_03024	-	PA3141; PA3142; PA3143; PA3144; PA3145; PA3146; PA3147; PA3148; PA3149; PA3150; PA3151; PA3152; PA3153; PA3154; PA3155; PA3156; PA3157; PA3158; PA3159; PA3160	-	-	-	-	-	-	-	-	-
Adherence	LPS O-antigen 	Undetermined	MMBGCLAI_03023; MMBGCLAI_03024	-	PA3141; PA3142; PA3143; PA3144; PA3145; PA3146; PA3147; PA3148; PA3149; PA3150; PA3151; PA3152; PA3153; PA3154; PA3155; PA3156; PA3157; PA3158; PA3159; PA3160	-	-	-	-	-	-	-	-	-
Adherence	LPS O-antigen 	Undetermined	MMBGCLAI_03023; MMBGCLAI_03024	-	PA3141; PA3142; PA3143; PA3144; PA3145; PA3146; PA3147; PA3148; PA3149; PA3150; PA3151; PA3152; PA3153; PA3154; PA3155; PA3156; PA3157; PA3158; PA3159; PA3160	-	-	-	-	-	-	-	-	-
Adherence	LPS O-antigen 	Undetermined	MMBGCLAI_03023; MMBGCLAI_03024	-	PA3141; PA3142; PA3143; PA3144; PA3145; PA3146; PA3147; PA3148; PA3149; PA3150; PA3151; PA3152; PA3153; PA3154; PA3155; PA3156; PA3157; PA3158; PA3159; PA3160	-	-	-	-	-	-	-	-	-
Adherence	LPS O-antigen 	Undetermined	MMBGCLAI_03023; MMBGCLAI_03024	-	PA3141; PA3142; PA3143; PA3144; PA3145; PA3146; PA3147; PA3148; PA3149; PA3150; PA3151; PA3152; PA3153; PA3154; PA3155; PA3156; PA3157; PA3158; PA3159; PA3160	-	-	-	-	-	-	-	-	-
Adherence	LPS O-antigen 	Undetermined	MMBGCLAI_03023; MMBGCLAI_03024	-	PA3141; PA3142; PA3143; PA3144; PA3145; PA3146; PA3147; PA3148; PA3149; PA3150; PA3151; PA3152; PA3153; PA3154; PA3155; PA3156; PA3157; PA3158; PA3159; PA3160	-	-	-	-	-	-	-	-	-
Adherence	LPS O-antigen 	Undetermined	MMBGCLAI_03023; MMBGCLAI_03024	-	PA3141; PA3142; PA3143; PA3144; PA3145; PA3146; PA3147; PA3148; PA3149; PA3150; PA3151; PA3152; PA3153; PA3154; PA3155; PA3156; PA3157; PA3158; PA3159; PA3160	-	-	-	-	-	-	-	-	-
Adherence	LPS O-antigen 	Undetermined	MMBGCLAI_03023; MMBGCLAI_03024	-	PA3141; PA3142; PA3143; PA3144; PA3145; PA3146; PA3147; PA3148; PA3149; PA3150; PA3151; PA3152; PA3153; PA3154; PA3155; PA3156; PA3157; PA3158; PA3159; PA3160	-	-	-	-	-	-	-	-	-
Adherence	LPS O-antigen 	Undetermined	MMBGCLAI_03023; MMBGCLAI_03024	-	PA3141; PA3142; PA3143; PA3144; PA3145; PA3146; PA3147; PA3148; PA3149; PA3150; PA3151; PA3152; PA3153; PA3154; PA3155; PA3156; PA3157; PA3158; PA3159; PA3160	-	-	-	-	-	-	-	-	-
Adherence	LPS O-antigen 	Undetermined	MMBGCLAI_03023; MMBGCLAI_03024	-	PA3141; PA3142; PA3143; PA3144; PA3145; PA3146; PA3147; PA3148; PA3149; PA3150; PA3151; PA3152; PA3153; PA3154; PA3155; PA3156; PA3157; PA3158; PA3159; PA3160	-	-	-	-	-	-	-	-	-
Adherence	LPS O-antigen 	Undetermined	MMBGCLAI_03023; MMBGCLAI_03024	-	PA3141; PA3142; PA3143; PA3144; PA3145; PA3146; PA3147; PA3148; PA3149; PA3150; PA3151; PA3152; PA3153; PA3154; PA3155; PA3156; PA3157; PA3158; PA3159; PA3160	-	-	-	-	-	-	-	-	-
Adherence	LPS O-antigen 	Undetermined	MMBGCLAI_03023; MMBGCLAI_03024	-	PA3141; PA3142; PA3143; PA3144; PA3145; PA3146; PA3147; PA3148; PA3149; PA3150; PA3151; PA3152; PA3153; PA3154; PA3155; PA3156; PA3157; PA3158; PA3159; PA3160	-	-	-	-	-	-	-	-	-
Adherence	LPS O-antigen 	Undetermined	MMBGCLAI_03023; MMBGCLAI_03024	-	PA3141; PA3142; PA3143; PA3144; PA3145; PA3146; PA3147; PA3148; PA3149; PA3150; PA3151; PA3152; PA3153; PA3154; PA3155; PA3156; PA3157; PA3158; PA3159; PA3160	-	-	-	-	-	-	-	-	-
Adherence	LPS O-antigen 	Undetermined	MMBGCLAI_03023; MMBGCLAI_03024	-	PA3141; PA3142; PA3143; PA3144; PA3145; PA3146; PA3147; PA3148; PA3149; PA3150; PA3151; PA3152; PA3153; PA3154; PA3155; PA3156; PA3157; PA3158; PA3159; PA3160	-	-	-	-	-	-	-	-	-
Adherence	LPS O-antigen 	Undetermined	MMBGCLAI_03023; MMBGCLAI_03024	-	PA3141; PA3142; PA3143; PA3144; PA3145; PA3146; PA3147; PA3148; PA3149; PA3150; PA3151; PA3152; PA3153; PA3154; PA3155; PA3156; PA3157; PA3158; PA3159; PA3160	-	-	-	-	-	-	-	-	-
Adherence	LPS O-antigen 	Undetermined	MMBGCLAI_03023; MMBGCLAI_03024	-	PA3141; PA3142; PA3143; PA3144; PA3145; PA3146; PA3147; PA3148; PA3149; PA3150; PA3151; PA3152; PA3153; PA3154; PA3155; PA3156; PA3157; PA3158; PA3159; PA3160	-	-	-	-	-	-	-	-	-
Adherence	LPS O-antigen 	Undetermined	MMBGCLAI_03023; MMBGCLAI_03024	-	PA3141; PA3142; PA3143; PA3144; PA3145; PA3146; PA3147; PA3148; PA3149; PA3150; PA3151; PA3152; PA3153; PA3154; PA3155; PA3156; PA3157; PA3158; PA3159; PA3160	-	-	-	-	-	-	-	-	-
Adherence	Type IV pili biosynthesis	fimT	-	-	PA4549	-	-	-	Pmen_0963	-	-	PST_0975	-	-
Adherence	Type IV pili biosynthesis	fimU	-	-	PA4550	-	-	Pfl_4848	Pmen_0962	-	-	PST_0974	PSPPH_0725	Psyr_0714; Psyr_0715
Adherence	Type IV pili biosynthesis	fimV	MMBGCLAI_02582	BMIEOKOB_02676	PA3115	PSEEN1688	PFL_2069	Pfl_1895	Pmen_2718	PP_1993	PputW619_1554	PST_1777	PSPPH_1655	Psyr_1661
Adherence	Type IV pili biosynthesis	pilA	-	-	PA4525	PSEEN4666	PFL_5287	Pfl_4819	Pmen_0777	PP_0634	PputW619_4536	PST_1054	PSPPH_0821	Psyr_0799
Adherence	Type IV pili biosynthesis	pilB	MMBGCLAI_03639	BMIEOKOB_03720	PA4526	-	-	Pfl_4820	Pmen_0775	-	-	PST_1055	PSPPH_0820	Psyr_0798
Adherence	Type IV pili biosynthesis	pilC	MMBGCLAI_03638	BMIEOKOB_03719	PA4527	PSEEN4667	PFL_5288	Pfl_4821	Pmen_0774	PP_0633	PputW619_4537	PST_1056	PSPPH_0819	Psyr_0797
Adherence	Type IV pili biosynthesis	pilD	MMBGCLAI_03637	BMIEOKOB_03718	PA4528	PSEEN4668	PFL_5289	Pfl_4822	Pmen_0773	PP_0632	PputW619_4538	PST_1057	PSPPH_0818	Psyr_0796
Adherence	Type IV pili biosynthesis	pilE	-	BMIEOKOB_04046	PA4556	PSEEN4684	PFL_5311	Pfl_4842	Pmen_0957	PP_0611	PputW619_4551	PST_0968	PSPPH_0731	Psyr_0720
Adherence	Type IV pili biosynthesis	pilF	MMBGCLAI_03357	BMIEOKOB_03442	PA3805	PSEEN1019	PFL_4956	Pfl_4603	Pmen_3502	PP_0851	PputW619_4327	PST_3033	PSPPH_1318	Psyr_1246
Adherence	Type IV pili biosynthesis	pilM	MMBGCLAI_00680	BMIEOKOB_00673	PA5044	PSEEN0330	PFL_0445	Pfl_0405	Pmen_0542	PP_5083	PputW619_0383	PST_0553	PSPPH_0390	Psyr_0403
Adherence	Type IV pili biosynthesis	pilN	MMBGCLAI_00681	BMIEOKOB_00674	PA5043	PSEEN0331	PFL_0446	Pfl_0406	Pmen_0543	PP_5082	PputW619_0384	PST_0554	PSPPH_0391	Psyr_0404
Adherence	Type IV pili biosynthesis	pilO	MMBGCLAI_00682	BMIEOKOB_00675	PA5042	-	PFL_0447	Pfl_0407	Pmen_0544	-	-	PST_0555	PSPPH_0392	Psyr_0405
Adherence	Type IV pili biosynthesis	pilP	MMBGCLAI_00683	BMIEOKOB_00676	PA5041	PSEEN0332	PFL_0448	Pfl_0408	Pmen_0545	PP_5081	PputW619_0385	PST_0556	PSPPH_0393	Psyr_0406
Adherence	Type IV pili biosynthesis	pilQ	MMBGCLAI_00684	BMIEOKOB_00677	PA5040	PSEEN0333	PFL_0449	Pfl_0409	Pmen_0546	PP_5080	PputW619_0386	PST_0557	PSPPH_0394	Psyr_0407
Adherence	Type IV pili biosynthesis	pilR	MMBGCLAI_01196; MMBGCLAI_03664	BMIEOKOB_01189; BMIEOKOB_03823	PA4547	-	PFL_5309	Pfl_4840	Pmen_0965	-	-	PST_3646	PSPPH_0736	Psyr_0722
Adherence	Type IV pili biosynthesis	pilS	MMBGCLAI_03663	BMIEOKOB_03822	PA4546	-	-	Pfl_4839	Pmen_0966	-	-	PST_3645	PSPPH_0737	Psyr_0723
Adherence	Type IV pili biosynthesis	pilT	MMBGCLAI_00723	BMIEOKOB_00716	PA0395	PSEEN0319	PFL_5837	Pfl_5318	Pmen_4149	PP_5093	PputW619_0372	PST_3965	PSPPH_0469	Psyr_0478
Adherence	Type IV pili biosynthesis	pilU	MMBGCLAI_00724	BMIEOKOB_00717	PA0396	-	-	Pfl_3082	Pmen_4148	-	-	PST_3964	PSPPH_2319	Psyr_2906
Adherence	Type IV pili biosynthesis	pilV	-	-	PA4551	-	-	Pfl_4846	Pmen_0961	-	-	PST_0973	-	-
Adherence	Type IV pili biosynthesis	pilW	-	-	PA4552	-	-	Pfl_4845	Pmen_0960	-	-	PST_0972	-	-
Adherence	Type IV pili biosynthesis	pilX	-	-	PA4553	-	-	Pfl_4844	Pmen_0959	-	-	PST_0971	-	-
Adherence	Type IV pili biosynthesis	pilY1	MMBGCLAI_03671	BMIEOKOB_03830; BMIEOKOB_04047	PA4554	-	PFL_5312	Pfl_4843	Pmen_0958	-	-	PST_0970	PSPPH_0730	Psyr_0719
Adherence	Type IV pili biosynthesis	pilY2	-	-	PA4555	-	-	-	-	-	-	PST_0969	-	-
Adherence	Type IV pili biosynthesis	pilZ	MMBGCLAI_03217	BMIEOKOB_03304	PA2960	-	-	Pfl_4150	Pmen_1635	-	-	PST_2615	-	Psyr_1654
Adherence	Type IV pili twitching motility related proteins	chpA	MMBGCLAI_00740	BMIEOKOB_00734	PA0413	PSEEN5051	PFL_5823	Pfl_5304	Pmen_0408	PP_4988	PputW619_0476	PST_3948	PSPPH_0483	Psyr_0492
Adherence	Type IV pili twitching motility related proteins	chpB	MMBGCLAI_00741	BMIEOKOB_00735	PA0414	-	-	-	Pmen_0409	-	-	PST_3947	-	-
Adherence	Type IV pili twitching motility related proteins	chpC	MMBGCLAI_00742	BMIEOKOB_00736	PA0415	PSEEN5050	PFL_5822	Pfl_5303	Pmen_0410	PP_4987	PputW619_0477	PST_3946	PSPPH_0484	Psyr_0493
Adherence	Type IV pili twitching motility related proteins	chpD	-	-	PA0416	-	-	-	-	-	-	-	-	-
Adherence	Type IV pili twitching motility related proteins	chpE	-	-	PA0417	-	-	-	Pmen_0661	-	-	-	-	-
Adherence	Type IV pili twitching motility related proteins	pilG	MMBGCLAI_00735	BMIEOKOB_00729	PA0408	PSEEN5055	PFL_5827	Pfl_5308	Pmen_0403	PP_4992	PputW619_0472	PST_3953	PSPPH_0479	Psyr_0488
