Aug_1-3640617598																		
VFclass	Virulence factors	Related genes	ma1263_3(Prediction)	A.baumannii 1656-2 	A.baumannii AB0057 	A.baumannii AB307-0294 	A.baumannii ACICU 	A.baumannii ATCC 17978 	A.baumannii AYE 	A.baumannii BJAB07104 	A.baumannii BJAB0715 	A.baumannii BJAB0868 	A.baumannii D1279779 	A.baumannii MDR-TJ 	A.baumannii MDR-ZJ06 	A.baumannii SDF 	A.baumannii TCDC-AB0715 	A.baumannii TYTH-1 
Immune evasion	Capsule	Undetermined	FKCBOABB_01411; FKCBOABB_01440; FKCBOABB_01509; FKCBOABB_01632; FKCBOABB_01866; FKCBOABB_01997; FKCBOABB_02001; FKCBOABB_02653; FKCBOABB_03185; FKCBOABB_03701; FKCBOABB_03704; FKCBOABB_03705; FKCBOABB_03706; FKCBOABB_03707; FKCBOABB_03715; FKCBOABB_03717; FKCBOABB_03722; FKCBOABB_03723; FKCBOABB_03724; FKCBOABB_03725	ABK1_0082; ABK1_0083; ABK1_0084; ABK1_0085; ABK1_0086; ABK1_0087; ABK1_0088; ABK1_0089; ABK1_0090; ABK1_0091; ABK1_0092; ABK1_0093; ABK1_0094; ABK1_0095; ABK1_0096; ABK1_0097; ABK1_0098; ABK1_0099; ABK1_0100; ABK1_0101; ABK1_0102; ABK1_0103; ABK1_0104	AB57_0091; AB57_0092; AB57_0093; AB57_0094; AB57_0095; AB57_0096; AB57_0097; AB57_0098; AB57_0099; AB57_0100; AB57_0101; AB57_0102; AB57_0103; AB57_0104; AB57_0105; AB57_0106; AB57_0107; AB57_0108; AB57_0109; AB57_0110; AB57_0111; AB57_0112; AB57_0113; AB57_0114; AB57_0115	ABBFA_003446; ABBFA_003447; ABBFA_003448; ABBFA_003449; ABBFA_003450; ABBFA_003451; ABBFA_003452; ABBFA_003453; ABBFA_003454; ABBFA_003455; ABBFA_003456; ABBFA_003457; ABBFA_003458; ABBFA_003459; ABBFA_003460; ABBFA_003461	ACICU_00071; ACICU_00072; ACICU_00073; ACICU_00074; ACICU_00075; ACICU_00076; ACICU_00077; ACICU_00078; ACICU_00079; ACICU_00080; ACICU_00081; ACICU_00082; ACICU_00083; ACICU_00084; ACICU_00085; ACICU_00086; ACICU_00087; ACICU_00088; ACICU_00089; ACICU_00090; ACICU_00091; ACICU_00092	A1S_0049; A1S_0050; A1S_0051; A1S_0052; A1S_0053; A1S_0054; A1S_0055; A1S_0056; A1S_0057; A1S_0058; A1S_0059; A1S_0060; A1S_0061; A1S_0062; A1S_0063; A1S_0064; A1S_0065; A1S_0066	ABAYE3800; ABAYE3801; ABAYE3802; ABAYE3803; ABAYE3804; ABAYE3806; ABAYE3807; ABAYE3808; ABAYE3809; ABAYE3810; ABAYE3811; ABAYE3812; ABAYE3813; ABAYE3814; ABAYE3815; ABAYE3816; ABAYE3817; ABAYE3818	BJAB07104_00087; BJAB07104_00088; BJAB07104_00089; BJAB07104_00090; BJAB07104_00091; BJAB07104_00092; BJAB07104_00093; BJAB07104_00094; BJAB07104_00095; BJAB07104_00096; BJAB07104_00097; BJAB07104_00098; BJAB07104_00099; BJAB07104_00100; BJAB07104_00101; BJAB07104_00102; BJAB07104_00103; BJAB07104_00104; BJAB07104_00105; BJAB07104_00106	BJAB0715_00090; BJAB0715_00091; BJAB0715_00092; BJAB0715_00093; BJAB0715_00094; BJAB0715_00095; BJAB0715_00096; BJAB0715_00097; BJAB0715_00098; BJAB0715_00099; BJAB0715_00100; BJAB0715_00101; BJAB0715_00102; BJAB0715_00103; BJAB0715_00104; BJAB0715_00105; BJAB0715_00106; BJAB0715_00107; BJAB0715_00108; BJAB0715_00109; BJAB0715_00110; BJAB0715_00111; BJAB0715_00112; BJAB0715_00113; BJAB0715_00114; BJAB0715_00115	BJAB0868_00088; BJAB0868_00089; BJAB0868_00090; BJAB0868_00091; BJAB0868_00092; BJAB0868_00093; BJAB0868_00094; BJAB0868_00095; BJAB0868_00096; BJAB0868_00097; BJAB0868_00098; BJAB0868_00099; BJAB0868_00100; BJAB0868_00101; BJAB0868_00102; BJAB0868_00103; BJAB0868_00104; BJAB0868_00105; BJAB0868_00106; BJAB0868_00107; BJAB0868_00108; BJAB0868_00109; BJAB0868_00110	ABD1_00490; ABD1_00500; ABD1_00510; ABD1_00520; ABD1_00530; ABD1_00540; ABD1_00550; ABD1_00560; ABD1_00570; ABD1_00580; ABD1_00590; ABD1_00600; ABD1_00610; ABD1_00620; ABD1_00630; ABD1_00640; ABD1_00650; ABD1_00660; ABD1_00670; ABD1_00680; ABD1_00690	ABTJ_03743; ABTJ_03744; ABTJ_03745; ABTJ_03746; ABTJ_03747; ABTJ_03748; ABTJ_03749; ABTJ_03750; ABTJ_03751; ABTJ_03752; ABTJ_03753; ABTJ_03754; ABTJ_03755; ABTJ_03756; ABTJ_03757; ABTJ_03758; ABTJ_03759; ABTJ_03760; ABTJ_03761; ABTJ_03762; ABTJ_03763; ABTJ_03764	ABZJ_00075; ABZJ_00076; ABZJ_00077; ABZJ_00078; ABZJ_00079; ABZJ_00080; ABZJ_00081; ABZJ_00082; ABZJ_00083; ABZJ_00084; ABZJ_00085; ABZJ_00086; ABZJ_00087; ABZJ_00088; ABZJ_00089; ABZJ_00090; ABZJ_00091; ABZJ_00092; ABZJ_00093; ABZJ_00094; ABZJ_00095; ABZJ_00096; ABZJ_00097	ABSDF0063; ABSDF0064; ABSDF0065; ABSDF0066; ABSDF0067; ABSDF0068; ABSDF0069; ABSDF0070; ABSDF0071; ABSDF0072; ABSDF0073; ABSDF0074; ABSDF0075; ABSDF0076; ABSDF0077; ABSDF0078; ABSDF0079; ABSDF0080; ABSDF0081; ABSDF0082; ABSDF0083	ABTW07_0079; ABTW07_0080; ABTW07_0081; ABTW07_0082; ABTW07_0083; ABTW07_0084; ABTW07_0085; ABTW07_0086; ABTW07_0087; ABTW07_0088; ABTW07_0089; ABTW07_0090; ABTW07_0091; ABTW07_0092; ABTW07_0093; ABTW07_0094; ABTW07_0095; ABTW07_0096; ABTW07_0097; ABTW07_0098; ABTW07_0099; ABTW07_0100	M3Q_281; M3Q_282; M3Q_283; M3Q_284; M3Q_285; M3Q_286; M3Q_287; M3Q_288; M3Q_289; M3Q_290; M3Q_291; M3Q_292; M3Q_293; M3Q_294; M3Q_295; M3Q_296; M3Q_297; M3Q_298; M3Q_299; M3Q_300; M3Q_301; M3Q_302; M3Q_303
	LPS	lpsB	FKCBOABB_03315	ABK1_0472	AB57_0510	ABBFA_003104	ACICU_00440	A1S_0430	ABAYE3345	BJAB07104_00486	BJAB0715_00469	BJAB0868_00489	ABD1_04010	ABTJ_03344	ABZJ_00471	ABSDF3082	ABTW07_0471	M3Q_685
		lpxA	FKCBOABB_01697	ABK1_2552	AB57_2310	ABBFA_001481	ACICU_02088	A1S_1965	ABAYE1587	BJAB07104_01654	BJAB0715_02235	BJAB0868_02224	ABD1_19910	ABTJ_01622	ABZJ_02268	ABSDF1690	ABTW07_2294	M3Q_2434
		lpxB	FKCBOABB_02064	ABK1_2156	AB57_1894	ABBFA_001828	ACICU_01697	A1S_1668	ABAYE1983	BJAB07104_02054	BJAB0715_01882	BJAB0868_01820	ABD1_16550	ABTJ_02010	ABZJ_01859	ABSDF1889	ABTW07_1911	M3Q_2049
		lpxC	FKCBOABB_00154	ABK1_3579	AB57_3781	ABBFA_000151	ACICU_03528	A1S_3330	ABAYE0154	BJAB07104_03624	BJAB0715_03711	BJAB0868_03577	ABD1_32260	ABTJ_00150	ABZJ_03720	ABSDF3466	ABTW07_3736	M3Q_67
		lpxD	FKCBOABB_01695	ABK1_2554	AB57_2312	ABBFA_001479	ACICU_02090	A1S_1967	ABAYE1585	BJAB07104_01652	BJAB0715_02237	BJAB0868_02226	ABD1_19930	ABTJ_01620	ABZJ_02270	ABSDF1688	ABTW07_2296	M3Q_2436
		lpxL	FKCBOABB_03314	ABK1_0473	AB57_0511	ABBFA_003103	ACICU_00441	A1S_0431	ABAYE3343	BJAB07104_00487	BJAB0715_00470	BJAB0868_00490	ABD1_04020	ABTJ_03343	ABZJ_00472	ABSDF3081	ABTW07_0472	M3Q_686
		lpxM	FKCBOABB_00959	-	AB57_3019	-	ACICU_02853	A1S_2609	ABAYE0885	BJAB07104_02942	BJAB0715_02981	BJAB0868_02822	ABD1_25620	ABTJ_00863	ABZJ_03036	ABSDF0888	ABTW07_3075	M3Q_3085
Iron uptake	Acinetobactin	barA	FKCBOABB_01178	ABK1_2692	AB57_2806	ABBFA_001066	ACICU_02574	A1S_2378	ABAYE1100	BJAB07104_02732	BJAB0715_02780	BJAB0868_02614	ABD1_23720	ABTJ_01139	ABZJ_02768	-	ABTW07_2823	M3Q_2841
		barB	FKCBOABB_01179	ABK1_2691	AB57_2805	ABBFA_001067	ACICU_02573	A1S_2375	ABAYE1101	BJAB07104_02731	BJAB0715_02779	BJAB0868_02613	ABD1_23710	ABTJ_01140	ABZJ_02767	-	ABTW07_2822	M3Q_2840
		basA	FKCBOABB_01163	ABK1_2706	AB57_2820	ABBFA_001051	ACICU_02588	A1S_2391	ABAYE1086	BJAB07104_02746	BJAB0715_02794	BJAB0868_02628	ABD1_23850	ABTJ_01124	ABZJ_02782	-	ABTW07_2836	M3Q_2856
		basB	FKCBOABB_01164	ABK1_2705	AB57_2819	ABBFA_001052	ACICU_02587	A1S_2390	ABAYE1087	BJAB07104_02745	BJAB0715_02793	BJAB0868_02627	ABD1_23840	ABTJ_01125	ABZJ_02781	-	ABTW07_2835	M3Q_2855
		basC	FKCBOABB_01172	ABK1_2699	AB57_2812	ABBFA_001060	ACICU_02580	A1S_2384	ABAYE1094	BJAB07104_02738	BJAB0715_02786	BJAB0868_02620	ABD1_23780	ABTJ_01133	ABZJ_02774	-	ABTW07_2829	M3Q_2847
		basD	FKCBOABB_01173	ABK1_2698	AB57_2811	ABBFA_001061	ACICU_02579	A1S_2383	ABAYE1095	BJAB07104_02737	BJAB0715_02785	BJAB0868_02619	ABD1_23770	ABTJ_01134	ABZJ_02773	-	ABTW07_2828	M3Q_2846
		basF	FKCBOABB_01175	ABK1_2696	AB57_2809	ABBFA_001063	ACICU_02577	A1S_2380	ABAYE1097	BJAB07104_02735	BJAB0715_02783	BJAB0868_02617	ABD1_23750	ABTJ_01136	ABZJ_02771	-	ABTW07_2826	M3Q_2844
		basG	FKCBOABB_01176	ABK1_2695	AB57_2808	ABBFA_001064	ACICU_02576	A1S_2379	ABAYE1098	BJAB07104_02734	BJAB0715_02782	BJAB0868_02616	ABD1_23740	ABTJ_01137	ABZJ_02770	-	ABTW07_2825	M3Q_2843
		basH	FKCBOABB_01180	ABK1_2690	AB57_2804	ABBFA_001068	ACICU_02572	A1S_2374	ABAYE1102	BJAB07104_02730	BJAB0715_02778	BJAB0868_02612	ABD1_23700	ABTJ_01141	ABZJ_02766	-	ABTW07_2821	M3Q_2839
		basI	FKCBOABB_01181	ABK1_2689	AB57_2803	ABBFA_001069	ACICU_02571	A1S_2373	ABAYE1103	BJAB07104_02729	BJAB0715_02777	BJAB0868_02611	ABD1_23690	ABTJ_01142	ABZJ_02765	-	ABTW07_2820	M3Q_2838
		basJ	FKCBOABB_01182	ABK1_2688	AB57_2802	ABBFA_001070	ACICU_02570	A1S_2372	ABAYE1104	BJAB07104_02728	BJAB0715_02776	BJAB0868_02610	ABD1_23680	ABTJ_01143	ABZJ_02764	-	ABTW07_2819	M3Q_2837
		bauA	FKCBOABB_01171	ABK1_2700	AB57_2813	ABBFA_001059	ACICU_02581	A1S_2385	ABAYE1093	BJAB07104_02739	BJAB0715_02787	BJAB0868_02621	ABD1_23790	ABTJ_01132	ABZJ_02775	-	ABTW07_2830	M3Q_2848
		bauB	FKCBOABB_01170	ABK1_2701	AB57_2814	ABBFA_001058	ACICU_02582	A1S_2386	ABAYE1092	BJAB07104_02740	BJAB0715_02788	BJAB0868_02622	ABD1_23800	ABTJ_01131	ABZJ_02776	-	ABTW07_2831	M3Q_2849
		bauC	FKCBOABB_01168	ABK1_2703	AB57_2816	ABBFA_001056	ACICU_02584	A1S_2388	ABAYE1090	BJAB07104_02742	BJAB0715_02790	BJAB0868_02624	ABD1_23820	ABTJ_01129	ABZJ_02778	-	ABTW07_2833	M3Q_2851
		bauD	FKCBOABB_01167	ABK1_2704	AB57_2817	ABBFA_001055	ACICU_02585	A1S_2389	ABAYE1089	BJAB07104_02743	BJAB0715_02791	BJAB0868_02625	ABD1_23830	ABTJ_01128	ABZJ_02779	-	ABTW07_2834	M3Q_2852
		bauE	FKCBOABB_01169	ABK1_2702	AB57_2815	ABBFA_001057	ACICU_02583	A1S_2387	ABAYE1091	BJAB07104_02741	BJAB0715_02789	BJAB0868_02623	ABD1_23810	ABTJ_01130	ABZJ_02777	-	ABTW07_2832	M3Q_2850
		bauF	FKCBOABB_01162	ABK1_2707	AB57_2822	ABBFA_001050	ACICU_02589	A1S_2392	ABAYE1085	BJAB07104_02747	BJAB0715_02795	BJAB0868_02629	ABD1_23860	ABTJ_01123	ABZJ_02783	-	ABTW07_2837	M3Q_2857
		entE	FKCBOABB_01174	ABK1_2697	AB57_2810	ABBFA_001062	ACICU_02578	A1S_2381	ABAYE1096	BJAB07104_02736	BJAB0715_02784	BJAB0868_02618	ABD1_23760	ABTJ_01135	ABZJ_02772	-	ABTW07_2827	M3Q_2845
	Heme utilization 	Undetermined	FKCBOABB_02804	ABK1_0905	AB57_0984	ABBFA_002692	ACICU_00872	A1S_0917	ABAYE2877	BJAB07104_01013	BJAB0715_01024	BJAB0868_01020	ABD1_08690	ABTJ_02892	ABZJ_01011	-	ABTW07_1001	M3Q_1209
		Undetermined	FKCBOABB_02803	-	AB57_0985	-	ACICU_00873	-	-	-	BJAB0715_01025	BJAB0868_01021	-	-	ABZJ_01012	ABSDF2288	ABTW07_1002	M3Q_1210
		Undetermined	FKCBOABB_02802	-	AB57_0986	-	ACICU_00874	-	-	-	BJAB0715_01026	BJAB0868_01022	-	-	ABZJ_01013	-	ABTW07_1003	M3Q_1211
		Undetermined	FKCBOABB_02801	-	AB57_0987	-	ACICU_00875	-	-	-	BJAB0715_01027	BJAB0868_01023	-	-	ABZJ_01014	ABSDF2285	ABTW07_1004	M3Q_1212
		Undetermined	FKCBOABB_02800	-	AB57_0988	-	ACICU_00876	-	-	-	BJAB0715_01028	BJAB0868_01024	-	-	ABZJ_01015	ABSDF2284	ABTW07_1005	M3Q_1213
		Undetermined	FKCBOABB_02799	-	AB57_0989	-	ACICU_00877	-	-	-	BJAB0715_01029	BJAB0868_01025	-	-	ABZJ_01016	ABSDF2283	ABTW07_1006	M3Q_1214
		Undetermined	FKCBOABB_02798	-	AB57_0990	-	ACICU_00878	-	-	-	BJAB0715_01030	BJAB0868_01026	-	-	ABZJ_01017	ABSDF2282	ABTW07_1007	M3Q_1215
		Undetermined	FKCBOABB_02796	-	AB57_0992	-	ACICU_00880	-	-	-	BJAB0715_01032	BJAB0868_01028	-	-	ABZJ_01019	ABSDF2280	ABTW07_1009	M3Q_1217
		Undetermined	FKCBOABB_02795	ABK1_0906	AB57_0993	ABBFA_002691	ACICU_00881	-	ABAYE2875	BJAB07104_01014	BJAB0715_01033	BJAB0868_01029	ABD1_08700	ABTJ_02891	ABZJ_01020	-	ABTW07_1010	M3Q_1218
		hemO	FKCBOABB_02797	-	AB57_0991	-	ACICU_00879	-	-	-	BJAB0715_01031	BJAB0868_01027	-	-	ABZJ_01018	ABSDF2281	ABTW07_1008	M3Q_1216
Regulation	Quorum sensing	abaI	FKCBOABB_03652	ABK1_0142	AB57_0151	ABBFA_003409	ACICU_00136	A1S_0109	ABAYE3761	BJAB07104_00145	BJAB0715_00157	BJAB0868_00152	ABD1_01150	ABTJ_03695	ABZJ_00138	-	ABTW07_0136	M3Q_342
		abaR	FKCBOABB_03650	ABK1_0144	AB57_0153	ABBFA_003407	ACICU_00138	A1S_0111	ABAYE3758	BJAB07104_00147	BJAB0715_00159	BJAB0868_00154	ABD1_01170	ABTJ_03693	ABZJ_00140	-	ABTW07_0138	M3Q_344
	Two-component system	bfmR	FKCBOABB_02983	ABK1_0744	AB57_0796	ABBFA_002866	ACICU_00705	A1S_0748	ABAYE3064	BJAB07104_00755	BJAB0715_00739	BJAB0868_00763	ABD1_07000	ABTJ_03067	ABZJ_00746	ABSDF2719	ABTW07_0736	M3Q_951
		bfmS	FKCBOABB_02982	ABK1_0745	AB57_0797	ABBFA_002865	ACICU_00706	A1S_0749	ABAYE3063	BJAB07104_00756	BJAB0715_00740	BJAB0868_00764	ABD1_07010	ABTJ_03066	ABZJ_00747	ABSDF2718	ABTW07_0737	M3Q_952
Serum resistance	PbpG	pbpG	FKCBOABB_03510	ABK1_0287	AB57_0326	ABBFA_003295	ACICU_00260	A1S_0237	ABAYE3532	BJAB07104_00303	BJAB0715_00285	BJAB0868_00307	ABD1_02210	ABTJ_03537	ABZJ_00287	ABSDF3296	ABTW07_0290	M3Q_503
	LPS rfb locus(Klebsiella)	rmlD	FKCBOABB_03716	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Antiphagocytosis	Capsule(Klebsiella)		FKCBOABB_03718	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		rmlC	FKCBOABB_03714	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Efflux pump	AcrAB(Klebsiella)	acrB	FKCBOABB_00924	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	Table saved from VFDB (http://www.mgc.ac.cn/VFs/) [Fri Aug  2 07:36:56 2024]																	
